id,assignee_id,created_at,subject,description,status,submitter_id,requester_id,updated_at,due_at,about,business name,dept,emp id,product information,start date,subscription,tags
3180,11321745068,2017-11-13T16:00:37Z,Help me reset my password,I can't log into your site. How do I reset my password?,waiting,7858119547,7858119547,2018-07-24T18:01:05Z,,becoming_a_courier,AJ Bayless,customer_support,78503600,product_1,2/16/18,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'general_support_request', 'gold', 'jennifer', 'nullify_urgent', 'paid', 'plan_gold', 'reminder']"
3183,11321745068,2017-11-13T16:00:39Z,Help me reset my password,I can't log into your site. How do I reset my password?,waiting,7858119547,7858119547,2018-07-24T18:01:07Z,,food_delivery,Intelli Wealth Group,finance,2044251,,3/22/19,silver,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'jennifer', 'nullify_urgent', 'paid', 'plan_gold', 'reminder']"
3185,,2017-11-13T16:00:41Z,Deilvery prices,What are the delivery service fees based on?,assigned,7858174327,7858174327,2018-12-04T03:30:31Z,,becoming_a_courier,Expo Superstore,customer_support,79085288,product_3,1/26/19,bronze,"['amer_region', 'apac', 'aus_nsw', 'no_csat', 'paid', 'plan_gold', 'vip', 'vip_user']"
3192,,2017-11-13T16:00:46Z,Gluten free options?,"Hello, I'm highly gluten intolerant. I see you mark gluten-free items on your website. However, will my order travel next to anyone elses? Or does a driver only work on one order at a time. I don't want to have any cross-contamination. Thanks!",waiting,7929180588,7929180588,2018-07-24T18:01:07Z,,food_delivery,The Flying Hippo ,,86218180,product_1,1/14/19,bronze,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3212,8129791828,2017-11-14T22:00:20Z,Referral Program,"Hi, do you have a referral program? I love your service and want to share with friends! ",waiting,7858119547,7858119547,2018-07-24T18:01:08Z,,becoming_a_courier,Parts and Pieces,sales,25657511,product_3,11/20/18,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'nullify_urgent', 'paid', 'plan_gold', 'reminder']"
3215,3.68134E+11,2017-11-15T12:21:21Z,Another Test,Hello!,open,7858119547,7858119547,2018-11-08T23:03:45Z,,training,Ardan's,customer_support,4362430,product_1,4/3/19,bronze,"['amer_region', 'finance_team', 'gold', 'paid', 'plan_gold']"
3217,7858096207,2017-11-15T15:34:15Z,Phone Call from: Chris Meyers,"Call from: +1 (608) 217-3594
Time of call: November 15, 2017 07:33:55 AM
Answered by: Bunk Moreland - CE",assigned,7858096207,27401922328,2018-11-07T02:38:39Z,,complaint,Maxiserve ,,24680526,product_2,1/9/18,platinum,"['amer', 'latam', 'merchant', 'vip_org']"
3228,3.68134E+11,2017-11-15T18:00:27Z,Local Farmers Markets,"Hi, are there any future plans to include mid-week farmer's market deliveries?",assigned,7929180588,7929180588,2018-11-08T23:03:46Z,,general_support_request,Ulbrich's,marketing__a,48689762,,11/25/19,,"['amer_region', 'finance_team', 'paid', 'plan_gold', 'vip_user']"
3230,3.68134E+11,2017-11-15T19:57:55Z,[Flagged] 'Delivery Process',"Knowledge Capture

Flagged from ticket #3060. | Edit article

# Delivery Process

Jennifer, last edited April 3, 2017

Once a customer requests an item, we'll look for the courier who's closest to the pickup spot and pair them up with the order.

Spelling error where courer should be ""courier""",assigned,7858096207,7858096207,2018-11-08T23:03:46Z,,becoming_a_merchant__invoice,Envirotecture Design,marketing__b,26944769,product_1,11/13/19,platinum,"['amer_region', 'becoming_a_merchant', 'finance_team', 'knowledge_capture_flagged_article', 'paid']"
3250,3.6453E+11,2017-11-20T02:18:42Z,Chat with John Smith,"Chat started: 2017-11-20 02:17 AM UTC
Served by: Aza Coward

IP: 13.55.49.175
User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36
Country: Australia
City: Sydney
URL: https://www.zopim.com/landing/simulate?accountId=42onhcRB2CrwDj4NvsJ5vHzMjLceirJv&subdomain=v2

The chat transcript will be appended when the agent or visitor leaves the chat.",retracted,27469609507,27562100148,2018-09-29T08:03:25Z,,food_delivery,Liberty Wealth Planners,marketing__b,93039389,,3/18/19,bronze,"['gift_wrapping', 'training', 'zopim_chat', 'zopim_chat_ended']"
3257,11321745068,2017-11-20T16:00:38Z,Help me reset my password,I can't log into your site. How do I reset my password?,waiting,7858067547,7858067547,2018-07-24T18:01:08Z,,complaint,Music Den,,25073150,product_2,11/20/19,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'jennifer', 'nullify_urgent', 'paid', 'product_a', 'reminder', 'subscription_silver']"
3266,3.68134E+11,2017-11-20T16:00:44Z,Thanks!,Thanks for the extra cookie in my lunch today (not that I needed it)!,assigned,7929180588,7929180588,2018-11-08T23:03:46Z,,,Judy's,finance,15072618,product_3,4/27/19,bronze,"['amer_region', 'finance_team', 'paid', 'plan_gold', 'vip_user']"
3273,3.6453E+11,2017-11-21T14:35:02Z,Order Issue,"Hi 

I'm having trouble with my recent order. Please help!


- Jimmy",done,7929180588,7929180588,2018-09-29T08:03:26Z,,food_delivery,La Petite Boulangerie,marketing__a,57566397,,7/19/18,platinum,"['amer_region', 'paid', 'plan_gold', 'training', 'vip_user']"
3277,9.98299E+11,2017-11-21T22:00:17Z,Password reset needed please,"Hi, how do I reset my password? ",waiting,7929180588,7929180588,2018-07-24T18:01:08Z,,becoming_a_merchant__billing,Herman's World of Sporting Goods,sales,80022158,product_2,3/21/18,gold,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'jennifer', 'nullify_urgent', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3279,3.6453E+11,2017-11-21T22:00:18Z,New vendor request,I wish you guys would add Snowman Pizza to your list of vendors. Their pepperoni pizza is on point!,retracted,7929180588,7929180588,2018-09-29T08:03:26Z,,,Plan Smart,finance,33064616,product_2,6/14/19,silver,"['amer_region', 'food_was_cold', 'paid', 'plan_gold', 'training', 'vip_user']"
3283,3.60098E+11,2017-11-21T22:00:21Z,Tipping?,"Hi, are we supposed to tip the courier? I'm new to this app. :) ",assigned,7858119547,7858119547,2018-03-26T18:16:44Z,,food_delivery,Monmax,finance,78030183,product_3,1/31/19,bronze,"['amer_region', 'gold', 'paid', 'plan_gold']"
3286,3.60098E+11,2017-11-21T22:00:24Z,Did not receive my order,I have been sitting at my apt for 2 hours waiting on my smoothie. I would like to cancel my subscription. This is ridic.,assigned,7929180588,7929180588,2018-03-26T18:16:43Z,,complaint,Linens 'n Things,customer_support,56148722,product_1,1/14/18,,"['amer_region', 'paid', 'plan_gold', 'vip_user']"
